movie_id,title,tags,poster_url
1895,Star Wars: Episode III - Revenge of the Sith,"Action Adventure Sci-Fi space",https://image.tmdb.org/t/p/w500/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg
157336,Interstellar,"Adventure Drama Sci-Fi space time",https://image.tmdb.org/t/p/w500/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg
27205,Inception,"Action Sci-Fi dreams mind heist",https://image.tmdb.org/t/p/w500/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg
11324,Shutter Island,"Drama Mystery Thriller psychological",https://image.tmdb.org/t/p/w500/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg
152601,Her,"Drama Romance Sci-Fi ai",https://image.tmdb.org/t/p/w500/eCOtqtfvn7mxGl6nfmq4b1exJRc.jpg
12477,Grave of the Fireflies,"Animation Drama War",https://image.tmdb.org/t/p/w500/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg
129,Spirited Away,"Animation Adventure Fantasy magic",https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg
4935,Ran,"Action Drama History samurai",https://image.tmdb.org/t/p/w500/1gKWXRVgesduqHDfR8siXppfELO.jpg
1124,The Prestige,"Drama Mystery Sci-Fi magicians",https://image.tmdb.org/t/p/w500/Ag2B2KHKQPukjH7WutmgnnSNurZ.jpg
105,Back to the Future,"Adventure Comedy Sci-Fi time travel",https://image.tmdb.org/t/p/w500/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg
196,Back to the Future Part II,"Adventure Comedy Sci-Fi time travel",https://image.tmdb.org/t/p/w500/hQq8xZe5uLjFzSBt4LanNP7SQjl.jpg
197,Back to the Future Part III,"Adventure Comedy Sci-Fi time travel",https://image.tmdb.org/t/p/w500/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg
85,Raiders of the Lost Ark,"Adventure Action archeology",https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg
87,Indiana Jones and the Temple of Doom,"Adventure Action archeology",https://image.tmdb.org/t/p/w500/gpdVNUaa4LhRMLfJOPj1AZdhAZ3.jpg
89,Indiana Jones and the Last Crusade,"Adventure Action archeology",https://image.tmdb.org/t/p/w500/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg
98,Gladiator,"Action Drama History rome",https://image.tmdb.org/t/p/w500/wN2xWp1eIwCKOD0BHTcErTBv1Uq.jpg
111,Scarface,"Action Crime Drama drug lord",https://image.tmdb.org/t/p/w500/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg
680,Pulp Fiction,"Crime Thriller cult classic",https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg
769,Goodfellas,"Crime Drama mafia",https://image.tmdb.org/t/p/w500/9OkCLM73MIU2CrKZbqiT8Ln1wY2.jpg
550,Fight Club,"Drama psychological cult classic",https://image.tmdb.org/t/p/w500/jSziioSwPVrOy9Yow3XhWIBDjq1.jpg
637,Life is Beautiful,"Comedy Drama War",https://image.tmdb.org/t/p/w500/6tEJnof1DKWPnl5lzkjf0FVv7oB.jpg
597,Titanic,"Drama Romance shipwreck",https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
106662,The Wolf of Wall Street,"Comedy Crime Drama finance",https://image.tmdb.org/t/p/w500/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg
62177,Brave,"Animation Adventure Family princess",https://image.tmdb.org/t/p/w500/1XAuDtMWpL0sYSFK0R6EZate2Ux.jpg
330,The Lost World: Jurassic Park,"Action Adventure Sci-Fi dinosaurs",https://image.tmdb.org/t/p/w500/6fSkhv35nPSw9hwPVCMINQFG1WD.jpg
329,Jurassic Park,"Action Adventure Sci-Fi dinosaurs",https://image.tmdb.org/t/p/w500/maFjKnJ62hDQ9E66dKqDZgbUy0H.jpg
10719,Elf,"Comedy Family Christmas",https://image.tmdb.org/t/p/w500/oOleziEempUPu96jkGs0Pj6tKxj.jpg
11036,The Notebook,"Drama Romance love",https://image.tmdb.org/t/p/w500/rNzQyW4f8B8cQeg7Dgj3n6eT5k9.jpg
2062,Ratatouille,"Animation Comedy Family chef",https://image.tmdb.org/t/p/w500/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg
14160,Up,"Animation Adventure Family house",https://image.tmdb.org/t/p/w500/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg
862,Toy Story,"Animation Adventure Family toys",https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
863,Toy Story 2,"Animation Adventure Family toys",https://image.tmdb.org/t/p/w500/4rbcp3ng8n1MKHjpeqW0L7Fnpzz.jpg
10193,Toy Story 3,"Animation Adventure Family toys",https://image.tmdb.org/t/p/w500/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg
585,Monsters Inc.,"Animation Comedy Family monsters",https://image.tmdb.org/t/p/w500/wFSpyMsp7H0ttERbxY7Trlv8xry.jpg
62,2001: A Space Odyssey,"Sci-Fi Mystery space",https://image.tmdb.org/t/p/w500/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg
185,A Clockwork Orange,"Crime Sci-Fi psychological",https://image.tmdb.org/t/p/w500/4sHeTAp65WrSSuc05nRBKddhBxO.jpg
187,Sin City,"Action Crime Thriller noir",https://image.tmdb.org/t/p/w500/i66G50wATMmPrvpP95f0XP6ZdVS.jpg
311,Once Upon a Time in America,"Crime Drama mafia",https://image.tmdb.org/t/p/w500/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg
399106,20th Century Women,"Comedy Drama",https://image.tmdb.org/t/p/w500/mso2rEr9i0MilRIOao5HaWFipS9.jpg
807,Se7en,"Crime Mystery Thriller serial killer",https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg
1422,The Departed,"Crime Drama Thriller undercover",https://image.tmdb.org/t/p/w500/nT97ifVT2J1yMQmeq20Qblg61T.jpg
11111,The Terminal,"Comedy Drama airport",https://image.tmdb.org/t/p/w500/cPB3ZMM4UdsSAhNdS4c7ps5nypY.jpg
948,Giant,"Drama Romance",https://image.tmdb.org/t/p/w500/h5RRYPVVuHzd7QOJyP5Dsi8J9XZ.jpg
103,Taxi Driver,"Crime Drama psychological",https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg
424,Schindler's List,"Drama History War",https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
15,The Big Lebowski,"Comedy Crime cult classic bowling",https://image.tmdb.org/t/p/w500/3bv6WAp6BSxxYvB5ozKFUYuRA8C.jpg
120467,The Grand Budapest Hotel,"Comedy Adventure Drama Wes Anderson",https://image.tmdb.org/t/p/w500/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg
